species,avg,stdev,lower95,upper95,habitat,tipping_pt,sum_cna
rucspa,0.3699908794718839,0.00318772674608019,0.36374293504956673,0.3762388238942011,Aridlands,NA,0.5684965738137056
rudduc,0.3698024202470741,0.00452690042864695,0.360929695406926,0.3786751450872221,Water/wetland,NA,0.3329902940617117
rudtur,0.350896476974217,0.01149820814869596,0.3283599890027729,0.3734329649456611,Water/wetland,Tipping Point,0.29050892932539885
rufgro,0.3699615102224316,0.00196693842276683,0.36610631091380863,0.3738167095310546,Forest,NA,0.6087263076926508
rufhum,0.3698551287385736,0.00136557745295158,0.3671785969307885,0.3725316605463587,Forest,Tipping Point,0.3666277206126479
rusbla,0.369973602665332,0.00116203418879254,0.3676960156552986,0.37225118967536536,Forest,NA,0.3393675830902193
saggro,0.36997351467655465,0.00284937753403703,0.36438873470984207,0.3755582946432672,Aridlands,Tipping Point,0.11915513109596532
sagspa1,0.3700153446482467,0.00181896052283294,0.36645018202349416,0.37358050727299935,Aridlands,NA,0.1173139229549458
sagthr,0.3699847869340288,0.00132085411731463,0.3673959128640921,0.3725736610039655,Aridlands,NA,0.1875570469019887
sancra,0.3699803816775139,0.00308397280788675,0.3639357949740558,0.37602496838097194,Water/wetland,NA,0.29563538435626596
sander,0.35909479402198935,0.01103025202960268,0.3374755000439681,0.3807140880000106,Water/wetland,NA,0.5260660420711192
savspa,0.3693009503980609,6.819114890629358e-4,0.3679644038794975,0.37063749691662423,Grasslands,NA,0.29580834402058587
saypho,0.3700530148533774,8.912997908894003e-4,0.36830606726323417,0.3717999624435206,Habitat Generalist,NA,0.31057991118720363
scaqua,0.3700549601831328,0.00271694005701592,0.3647297576713816,0.37538016269488406,Aridlands,NA,0.4903940231837396
scatan,0.3698190548270864,0.00128249700407758,0.3673053606990943,0.3723327489550785,Forest,NA,0.7802067654560751
scoori,0.3700287821282944,0.00236466418739076,0.3653940403210086,0.37466352393558033,Forest,NA,0.3029546455414369
sctfly,0.3700226762811691,0.00179453643583969,0.3665053848669233,0.37353996769541487,Grasslands,NA,0.5448012929999184
sedwre1,0.3699725693148064,0.00135849383329529,0.36730992140154767,0.3726352172280652,Grasslands,NA,0.3060672393759767
semplo,0.3665553101424403,0.00773273213484427,0.35139915515814557,0.3817114651267351,Water/wetland,NA,0.22766780743020967
semsan,0.3678016536809752,0.00750874865959108,0.35308450630817667,0.3825188010537738,Water/wetland,Tipping Point,0.20997599343692908
shbdow,0.3641525526326141,0.01835047532355535,0.3281856209984456,0.40011948426678257,Water/wetland,Tipping Point,0.30915482329980465
sheowl,0.3696680644804287,0.00126103526028207,0.36719643537027585,0.3721396935905816,Habitat Generalist,NA,0.2318220632739571
shshaw,0.3698078646955281,5.596605166278984e-4,0.3687109300829374,0.3709047993081188,Forest,NA,0.3772536759093539
shtgro,0.3700465086136698,0.00198582619841375,0.3661542892647788,0.3739387279625607,Grasslands,NA,0.4514743278754061
smilon,0.36991488654078264,0.00352035730788789,0.3630149862173224,0.3768147868642429,Water/wetland,NA,0.25735014818751567
snobun,0.3682752620832414,0.00137697391538755,0.3655763932090818,0.370974130957401,Water/wetland,NA,0.13585384755557067
snoegr,0.36774648265600424,0.00609288199799229,0.3558044339399393,0.3796885313720691,Water/wetland,NA,0.3611476898346533
snogoo,0.36987380869489966,0.00278567347681898,0.3644138886803345,0.37533372870946485,Water/wetland,NA,0.23771675734928896
snoowl1,0.3645366497595484,0.0028443611259402,0.3589617019527056,0.3701115975663912,Water/wetland,Tipping Point,0.134558670045827
solsan,0.3700306359764194,8.675874313149389e-4,0.36833016461104207,0.3717311073417966,Water/wetland,NA,0.2843192567235907
sonspa,0.3696892035286093,4.884452006991784e-4,0.3687318509352389,0.37064655612197966,Habitat Generalist,NA,0.4780109262661507
soogro1,0.36988504082310403,0.00456246497128997,0.3609426094793757,0.3788274721668324,Forest,NA,0.29663016557361743
sora,0.37000851272323504,0.00131687578821099,0.3674274361783415,0.3725895892681286,Water/wetland,NA,0.26046030876400306
sposan,0.3697314905885124,7.005066883528421e-4,0.3683584974793409,0.3711044836976839,Water/wetland,NA,0.23848569115011745
spotow,0.37001392650088816,8.814842084420567e-4,0.36828621745234175,0.37174163554943457,Forest,NA,0.458001718128742
sprgro,0.3700254593553921,0.00171805140951744,0.3666580785927379,0.3733928401180463,Forest,NA,0.03315968825563242
sprpip,0.37008698772743714,0.00194800205087201,0.366268903707728,0.37390507174714627,Grasslands,Tipping Point,0.338802627784596
steeid,0.3317333452201953,0.01048446754229945,0.31118378883728837,0.35228290160310227,Water/wetland,NA,0.5219018782112244
stejay,0.37003578392731445,0.00187269716317815,0.36636529748748525,0.37370627036714366,Forest,NA,0.530406881113187
stisan,0.36992070631271967,0.00278631023158988,0.3644595382588035,0.37538187436663584,Water/wetland,Tipping Point,0.21056892225968235
sumtan,0.369966547086754,0.00108799168568056,0.3678340833828201,0.37209901079068786,Forest,NA,0.7360231433576275
surfbi,0.3375142220301759,0.00915035982679856,0.31957951676965074,0.35544892729070104,Water/wetland,Tipping Point,0.5570263051730535
sursco,0.32723947068426124,0.00946502408493675,0.3086880234777852,0.3457909178907373,Water/wetland,NA,0.7222287020266003
swahaw,0.3700954982422196,0.00224988746001514,0.3656857188205899,0.3745052776638493,Grasslands,NA,0.4344791728910762
swaspa,0.3698777081227565,8.549212522002045e-4,0.3682020624684441,0.3715533537770689,Water/wetland,NA,0.4634720061301225
